Start,Duration,Pitch,Velocity,Instrument
15.730394781249998,0.4739582031250009,62,0.9921875,1-acoustic grand-lh
15.730394781249998,0.4739582031250009,56,0.9921875,1-acoustic grand-lh
15.730394781249998,0.4739582031250009,52,0.9921875,1-acoustic grand-lh
16.204352984375,0.47638871875000177,62,0.9921875,1-acoustic grand-lh
16.204352984375,0.47638871875000177,56,0.9921875,1-acoustic grand-lh
16.204352984375,0.47638871875000177,52,0.9921875,1-acoustic grand-lh
16.680741703125,0.4545137265624959,62,0.9921875,1-acoustic grand-lh
16.680741703125,0.4545137265624959,56,0.9921875,1-acoustic grand-lh
16.680741703125,0.4545137265624959,52,0.9921875,1-acoustic grand-lh
17.135255429687497,0.47569427083333693,62,0.9921875,1-acoustic grand-lh
17.135255429687497,0.47569427083333693,55,0.9921875,1-acoustic grand-lh
